Seed,Team,Efficiency,Tempo,,,,,,,
1,Gonzaga,38.05,74.8,Gonzaga,Gonzaga,Gonzaga,Gonzaga,Iowa,Iowa,Iowa
16,App St,-2.91,65.7,App St,,,,,,
8,Oklahoma,18.07,67.7,Oklahoma,Oklahoma,,,,,
9,Missouri,16.58,68.7,Missouri,,,,,,
5,Creighton,22.73,69.1,Creighton,Creighton,Creighton,,,,
12,UCSB,13.66,66.1,UCSB,,,,,,
4,Virginia,24.08,60.1,Virginia,Virginia,,,,,
13,Ohio,12.54,69.3,Ohio,,,,,,
6,USC,23.65,67.3,USC,USC,Kansas,Iowa,,,
11,Drake,16.07,66.8,Drake,,,,,,
3,Kansas,22.46,68.3,Kansas,Kansas,,,,,
14,EWU,8.08,72.4,EWU,,,,,,
7,Oregon,19.11,67.2,Oregon,VCU,Iowa,,,,
10,VCU,17.34,69.8,VCU,,,,,,
2,Iowa,30.33,70,Iowa,Iowa,,,,,
15,Grand Canyon,8.41,65.5,Grand Canyon,,,,,,
1,Michigan,32.22,66.8,Michigan,Michigan,Michigan,Michigan,Michigan,,
16,Texas Southern,-4.63,72,Texas Southern,,,,,,
8,LSU,21.02,70.8,LSU,St. Bonaventure,,,,,
9,St. Bonaventure,22.25,65.2,St. Bonaventure,,,,,,
5,Colorado,23.11,66.4,Colorado,Georgetown,Florida St,,,,
12,Georgetown,15.49,69.6,Georgetown,,,,,,
4,Florida St,23.5,70.6,Florida St,Florida St,,,,,
13,UNCG,9.58,68.5,UNCG,,,,,,
6,BYU,22.37,68,BYU,BYU,Texas,Texas,,,
11,UCLA,17.35,64.7,UCLA,,,,,,
3,Texas,22.01,69.2,Texas,Texas,,,,,
14,Abilene,11.56,70,Abilene,,,,,,
7,UConn,23.33,66,UConn,UConn,UConn,,,,
10,Maryland,20.15,65.3,Maryland,,,,,,
2,Alabama,26.42,73.9,Alabama,Alabama,,,,,
15,Iona,0.39,68.3,Iona,,,,,,
1,Baylor,30.93,68.4,Baylor,Baylor,Wisconsin,Wisconsin,Arkansas,Houston,
16,Hartford,-1.3,66.7,Hartford,,,,,,
8,UNC,21.52,71.8,UNC,Wisconsin,,,,,
9,Wisconsin,24.08,64.9,Wisconsin,,,,,,
5,Villanova,24.05,65.1,Villanova,Villanova,Villanova,,,,
12,Winthrop,10.37,73.6,Winthrop,,,,,,
4,Purdue,23.7,66.5,Purdue,Purdue,,,,,
13,North Texas,13.13,63.1,North Texas,,,,,,
6,Texas Tech,22.38,65.4,Texas Tech,Utah St,Arkansas,Arkansas,,,
11,Utah St,17.94,68.9,Utah St,,,,,,
3,Arkansas,22.96,73.1,Arkansas,Arkansas,,,,,
14,Colgate,11.65,72.5,Colgate,,,,,,
7,Florida,18.98,68.7,Florida,Florida,Ohio St,,,,
10,Virginia Tech,16.65,66.2,Virginia Tech,,,,,,
2,Ohio St,26.85,67.1,Ohio St,Ohio St,,,,,
15,Oral Roberts,2.64,71.8,Oral Roberts,,,,,,
1,Illinois,32.04,70.7,Illinois,Illinois,Illinois,Oklahoma St,Houston,,
16,Drexel,3.05,64.2,Drexel,,,,,,
8,Loyola Chi,25.18,64.2,Loyola Chi,Georgia Tech,,,,,
9,Georgia Tech,19.98,67.8,Georgia Tech,,,,,,
5,Tennessee,22.49,67.3,Tennessee,Tennessee,Oklahoma St,,,,
12,Oregon St.,11.6,65.4,Oregon St.,,,,,,
4,Oklahoma St,20.2,72,Oklahoma St,Oklahoma St,,,,,
13,Liberty,9.8,63.1,Liberty,,,,,,
6,San Diego St,22.72,66.1,San Diego St,Syracuse,Syracuse,Houston,,,
11,Syracuse,17.66,69.2,Syracuse,,,,,,
3,West Virginia,21.75,69.6,West Virginia,West Virginia,,,,,
14,Morehead St,5.32,65.6,Morehead St,,,,,,
7,Clemson,17.59,64.2,Clemson,Rutgers,Houston,,,,
10,Rutgers,19.57,67.8,Rutgers,,,,,,
2,Houston,30.25,64.9,Houston,Houston,,,,,
15,Cleveland St,2.8,66.3,Cleveland St,,,,,,
,First,Four,,,,,,,,
16,Norfolk St,-2.31,67.7,Norfolk St,App St,,,,,
16,App St,-2.91,65.7,App St,,,,,,
11,Wichita St,12.98,67.6,Wichita St,Drake,,,,,
11,Drake,16.07,66.8,Drake,,,,,,
16,Mt St Marys,-3.58,62.2,Mt St Marys,Texas Southern,,,,,
16,Texas Southern,-4.63,72,Texas Southern,,,,,,
11,Michigan St,15.44,68.6,Michigan St,UCLA,,,,,
11,UCLA,17.35,64.7,UCLA,,,,,,
