FF Midwest (G7),FF South (G6),FF East (G5),FF West (G4),Right Half (G3),Left Half (G2),Champion (G1),Probability,Sum of 2 Points,Sum of 2 Winner,Sum of 2 ID1+ID2,Best Bracket Points,Best Bracket Winner,Best Bracket ID,
Houston,Arkansas,UCLA,USC,Arkansas,USC,USC,0.0025777395,123,Mookie,6&19,70,Austin,17,
Oregon St,Arkansas,UCLA,USC,Arkansas,USC,USC,0.0014301157499999999,118,Mookie,6&19,65,Austin,17,
Houston,Baylor,UCLA,USC,Baylor,USC,USC,0.008126433,123,Daniel,1&7,73,Daniel,1,
Oregon St,Baylor,UCLA,USC,Baylor,USC,USC,0.0038298015000000005,117,Sangburm,8&25,68,Daniel,1,
Houston,Arkansas,Michigan,USC,Arkansas,USC,USC,0.003604959,128,Mookie,19&6,70,Austin,17,
Oregon St,Arkansas,Michigan,USC,Arkansas,USC,USC,0.0020000115000000005,123,Mookie,6&19,65,Austin,17,
Houston,Baylor,Michigan,USC,Baylor,USC,USC,0.011364786,123,Daniel|Mookie,1&11|6&19,73,Daniel,1,
Oregon St,Baylor,Michigan,USC,Baylor,USC,USC,0.005355963000000001,118,Daniel|Mookie,1&11|6&19,68,Daniel,1,
Houston,Arkansas,UCLA,Gonzaga,Arkansas,Gonzaga,Gonzaga,0.0129760785,145,Austin,17&5,88,Austin,17,
Oregon St,Arkansas,UCLA,Gonzaga,Arkansas,Gonzaga,Gonzaga,0.007199057250000002,140,Austin,17&5,83,Austin,17,
Houston,Baylor,UCLA,Gonzaga,Baylor,Gonzaga,Gonzaga,0.047017219500000006,158,Sangburm,8&25,98,Sangburm,8,
Oregon St,Baylor,UCLA,Gonzaga,Baylor,Gonzaga,Gonzaga,0.022158137250000005,153,Sangburm,8&25,93,Sangburm,8,
Houston,Arkansas,Michigan,Gonzaga,Arkansas,Gonzaga,Gonzaga,0.019341861000000002,145,Austin,17&5,88,Austin,17,
Oregon St,Arkansas,Michigan,Gonzaga,Arkansas,Gonzaga,Gonzaga,0.010730758500000001,140,Austin,17&5,83,Austin,17,
