ID,Chalk Score,538 Score,Winner,Runner Up,Purdue Depth,VT Depth
1,114.05,56.76,2 Villanova,1 Gonzaga,5: Final 4,1: Round of 64
2,111.48,57.71,2 Auburn,4 UCLA,2: Round of 32,1: Round of 64
3,103.35,49.25,1 Kansas,7 Murray State,1: Round of 64,3: Sweet 16
4,108.27,52.4,1 Baylor,5 Houston,1: Round of 64,3: Sweet 16
5,124.51,68.76,1 Gonzaga,1 Kansas,4: Elite 8,2: Round of 32
6,114.59,58.19,1 Kansas,1 Baylor,2: Round of 32,3: Sweet 16
7,108.48,56.74,4 UCLA,1 Arizona,2: Round of 32,4: Elite 8
8,108.64,53.92,3 Purdue,3 Wisconsin,7: Winner,2: Round of 32
9,128.75,66.73,1 Kansas,1 Baylor,3: Sweet 16,2: Round of 32
10,122.35,65.21,1 Gonzaga,1 Arizona,2: Round of 32,1: Round of 64
11,97.06,48.3,6 Texas,6 Louisiana State,2: Round of 32,1: Round of 64
12,124.72,63.74,1 Gonzaga,3 Wisconsin,2: Round of 32,1: Round of 64
13,105.05,53.76,3 Texas Tech,5 Houston,3: Sweet 16,1: Round of 64
14,113.05,57.4,1 Gonzaga,4 Illinois,5: Final 4,1: Round of 64
15,112.27,61.08,1 Gonzaga,5 Iowa,2: Round of 32,1: Round of 64
16,123.8,59.03,1 Arizona,1 Baylor,3: Sweet 16,2: Round of 32
17,105.14,56.27,4 UCLA,5 Iowa,2: Round of 32,1: Round of 64
18,113.05,61.85,4 UCLA,1 Arizona,3: Sweet 16,2: Round of 32
19,121.66,65.24,2 Villanova,1 Gonzaga,2: Round of 32,3: Sweet 16
20,99.17,50.65,5 Houston,3 Purdue,6: Runner Up,2: Round of 32
21,113.87,63.35,1 Gonzaga,5 Houston,3: Sweet 16,2: Round of 32
22,108.88,56.54,1 Gonzaga,5 Houston,3: Sweet 16,1: Round of 64
23,120.25,62.84,2 Auburn,1 Gonzaga,5: Final 4,2: Round of 32
24,94.68,47.65,8 Seton Hall,6 Texas,2: Round of 32,1: Round of 64
25,110.91,53.91,1 Arizona,3 Texas Tech,2: Round of 32,1: Round of 64
26,111.52,62.42,1 Gonzaga,8 San Diego State,2: Round of 32,3: Sweet 16
27,114.36,57.47,1 Kansas,2 Kentucky,3: Sweet 16,2: Round of 32
28,121.25,63.05,3 Tennessee,1 Gonzaga,5: Final 4,1: Round of 64
29,110.24,55.17,2 Villanova,3 Purdue,6: Runner Up,1: Round of 64
30,97.64,48.61,5 Iowa,5 Saint Mary's (CA),1: Round of 64,1: Round of 64
31,124.77,69.45,1 Gonzaga,1 Arizona,2: Round of 32,3: Sweet 16
32,116.27,62.13,1 Kansas,2 Kentucky,3: Sweet 16,1: Round of 64
