ID,Chalk Score,538 Score,HEAT Score,Winner,Runner Up,Purdue Depth,UVA Depth
1,119.81,57.88,1.0185,1 Houston,3 Baylor,2: Round of 32,3: Sweet 16
2,117.18,59.76,0.66,1 Connecticut,3 Creighton,2: Round of 32,First Four
3,113.6,56.19,1.1272,4 Auburn,1 Purdue,6: Runner Up,2: Round of 32
4,121.13,66.0,2.2688,2 Arizona,1 Purdue,6: Runner Up,1: Round of 64
5,111.88,56.14,1.1998,1 Purdue,3 Illinois,7: Winner,First Four
6,125.11,68.38,2.3485,1 Connecticut,1 Houston,5: Final 4,1: Round of 64
7,120.93,61.72,2.9222,1 Connecticut,2 Tennessee,1: Round of 64,First Four
8,112.97,56.31,1.0507,3 Illinois,2 Tennessee,4: Elite 8,First Four
9,108.98,52.83,2.2623,4 Auburn,4 Kansas,2: Round of 32,1: Round of 64
10,114.19,58.48,1.2822,1 Purdue,1 North Carolina,7: Winner,First Four
11,118.96,60.62,2.8793,4 Kansas,1 Connecticut,2: Round of 32,First Four
12,119.58,62.46,2.2755,1 Connecticut,4 Kansas,3: Sweet 16,1: Round of 64
13,99.18,54.55,2.9266,9 Texas A&M,1 Connecticut,3: Sweet 16,First Four
14,114.14,56.28,1.069,1 Purdue,3 Baylor,7: Winner,First Four
15,102.23,50.83,1.2838,4 Kansas,4 Alabama,3: Sweet 16,1: Round of 64
16,110.66,56.4,2.6204,1 Purdue,4 Auburn,7: Winner,1: Round of 64
17,122.58,66.57,2.1958,1 Purdue,2 Arizona,7: Winner,2: Round of 32
18,98.93,52.56,2.5786,5 Wisconsin,9 Michigan State,5: Final 4,First Four
19,127.25,63.86,1.2596,1 Houston,1 North Carolina,4: Elite 8,First Four
20,122.22,68.5,1.1667,2 Arizona,1 Purdue,6: Runner Up,First Four
21,117.31,59.48,2.0784,1 Connecticut,2 Marquette,5: Final 4,First Four
22,120.95,61.48,2.7242,2 Tennessee,1 Connecticut,3: Sweet 16,First Four
23,109.03,58.73,1.2384,5 Gonzaga,2 Arizona,3: Sweet 16,First Four
24,105.58,50.44,2.2757,3 Kentucky,3 Baylor,3: Sweet 16,1: Round of 64
25,114.26,57.98,1.264,2 Iowa State,2 Tennessee,4: Elite 8,First Four
26,118.44,58.14,2.8662,1 Houston,7 Dayton,5: Final 4,1: Round of 64
27,119.16,64.28,2.0954,1 Purdue,2 Arizona,7: Winner,First Four
28,109.69,55.67,2.9158,4 Auburn,3 Creighton,4: Elite 8,1: Round of 64
29,112.1,55.58,1.2725,1 North Carolina,4 Duke,5: Final 4,First Four
30,114.05,57.71,0.8532,3 Baylor,5 Wisconsin,5: Final 4,1: Round of 64
31,120.51,62.26,2.1919,1 Houston,4 Auburn,5: Final 4,First Four
32,110.57,53.87,2.763,2 Iowa State,3 Kentucky,4: Elite 8,1: Round of 64
